Id,PID,Lot_Frontage,Lot_Area,Lot_Shape,Land_Slope,Overall_Qual,Overall_Cond,Year_Built,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,Functional,Fireplaces,Fireplace_Qu,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Mo_Sold,SalePrice,Age,Other_Rooms,Garage_area/car,Neighb_Qual,Street_Pave,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,MS_Zoning_RH,MS_Zoning_RL,MS_Zoning_RM,Condition_Feedr,Condition_Norm,Condition_PosA,Bldg_Type_2FmCon,Bldg_Type_Duplx,Bldg_Type_TwnhsE,Bldg_Type_TwnhsI,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,is_Remodeled,Exterior_AsbShng,Exterior_AsphShn,Exterior_BrkComm,Exterior_BrkFace,Exterior_CemntBd,Exterior_HdBoard,Exterior_MetalSd,Exterior_Plywood,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Garage_Type_Attchd,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_CarPort,Garage_Type_Detchd,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Lot_Config_CulDSac,Lot_Config_FR2,Lot_Config_FR3,Lot_Config_Inside
1044,527451290,21.0,1680,4,3,6,5,1971,232.0,3,3,3,3,1,5,387.0,1,0.0,96.0,3,1,5,483,504,0,0.0,0.0,1,1,2,1,3,7,0,0,1971.0,1,1.0,3,3,3,0,0,0,0,0,0,0,0,7,85400,37,2,264.0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2752,906380150,64.0,7488,3,3,7,5,2005,0.0,4,3,4,3,3,6,393.0,1,0.0,815.0,5,1,5,1208,0,0,0.0,0.0,2,0,2,1,4,7,0,0,2005.0,2,2.0,3,3,3,105,58,0,0,0,0,0,0,2,183600,1,4,316.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
807,906226060,120.0,26400,4,3,5,7,1880,0.0,4,3,0,0,0,0,0.0,0,0.0,0.0,5,1,5,1288,728,0,0.0,0.0,1,0,4,1,3,4,1,3,1900.0,1,2.0,3,3,2,0,0,0,0,0,0,0,0,6,131000,129,3,288.0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1177,533236070,24.0,2645,4,3,8,5,1999,456.0,4,3,4,3,1,6,813.0,1,0.0,147.0,5,1,5,962,645,0,1.0,0.0,2,1,3,1,4,7,0,0,2000.0,1,2.0,3,3,3,169,0,0,0,0,0,0,0,12,200000,9,4,240.0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1480,907418040,74.0,9627,4,3,7,5,2007,0.0,4,3,4,3,3,6,24.0,1,0.0,1327.0,5,1,5,1361,0,0,0.0,0.0,2,0,3,1,4,7,0,0,2007.0,2,2.0,3,3,3,0,50,0,0,0,0,0,0,6,193000,1,3,305.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
324,923202105,93.0,10114,4,3,5,5,2004,0.0,3,3,5,3,3,1,0.0,1,0.0,1430.0,5,1,5,1430,0,0,0.0,0.0,2,0,3,1,4,7,0,0,2004.0,2,2.0,3,3,3,0,0,0,0,0,0,0,0,3,173500,6,4,312.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1311,902301140,34.0,4571,4,3,5,5,1916,0.0,3,3,3,3,1,1,0.0,1,0.0,624.0,2,0,5,624,720,0,0.0,0.0,1,0,4,1,3,7,0,0,1916.0,1,3.0,2,2,3,0,0,96,0,0,0,0,0,5,98000,92,3,171.0,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
770,905101490,80.0,8816,4,3,5,6,1963,0.0,3,3,3,3,1,3,651.0,1,0.0,470.0,3,1,5,1121,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1963.0,1,2.0,3,3,3,0,80,0,0,0,0,3,0,6,139000,46,2,240.0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2063,905107140,71.0,8197,4,3,6,5,1977,148.0,3,3,3,3,1,1,0.0,1,0.0,660.0,5,1,5,1285,0,0,0.0,0.0,1,1,3,1,3,7,1,3,1977.0,2,2.0,3,3,3,138,0,0,0,0,0,3,0,4,143500,30,4,264.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
69,528458070,72.0,8640,4,3,7,5,2009,0.0,3,3,4,3,2,6,24.0,1,0.0,732.0,5,1,5,764,783,0,0.0,0.0,2,1,3,1,4,7,0,0,2009.0,1,2.0,3,3,3,169,45,0,0,0,0,0,0,6,215200,1,4,307.0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2062,905106150,109.0,8724,4,3,5,5,1968,0.0,3,3,4,3,1,4,492.0,1,0.0,402.0,4,1,5,894,0,0,0.0,0.0,1,0,3,1,3,7,1,1,1968.0,3,2.0,3,3,3,0,0,0,0,0,0,0,0,5,129000,39,2,225.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
351,527131030,40.0,5664,3,3,8,5,2000,0.0,4,3,4,3,1,6,1158.0,1,0.0,343.0,5,1,5,1659,0,0,1.0,0.0,2,0,2,1,5,7,1,5,2000.0,3,2.0,3,3,3,212,59,0,0,0,0,0,0,10,278000,9,3,249.5,4,1,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2393,528142010,103.0,12867,3,3,8,5,2005,0.0,4,3,5,3,3,1,0.0,1,0.0,1209.0,5,1,5,1209,1044,0,0.0,0.0,2,1,3,1,5,7,1,4,2005.0,3,2.0,3,3,3,243,142,0,0,0,0,0,0,7,344133,1,5,287.5,4,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,527165230,63.0,7980,3,3,6,7,1992,0.0,3,4,4,3,1,5,935.0,1,0.0,233.0,5,1,5,1187,0,0,1.0,0.0,2,0,3,1,3,7,0,0,1992.0,3,2.0,3,3,3,483,21,0,0,0,0,4,500,3,185000,18,3,210.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2339,527250040,100.0,34650,4,3,5,5,1955,0.0,3,3,3,3,2,3,1056.0,1,0.0,0.0,3,0,5,1056,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1955.0,3,2.0,3,3,3,264,0,0,0,0,0,0,0,1,145000,51,2,286.0,2,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
624,535104120,92.0,10573,3,3,6,6,1961,3.0,3,3,3,3,1,3,1312.0,1,0.0,141.0,5,1,5,1453,0,0,1.0,0.0,2,0,3,1,3,7,1,3,1961.0,2,2.0,3,3,3,0,49,0,0,288,0,4,0,4,187500,48,3,265.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
86,532376160,65.0,8450,4,3,5,8,1965,0.0,3,4,3,3,1,6,553.0,4,117.0,224.0,5,1,5,894,0,0,1.0,0.0,1,0,3,1,3,7,1,4,1973.0,1,1.0,3,3,3,416,144,0,0,0,0,3,0,4,138500,45,2,336.0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1534,909277040,64.0,11700,3,2,5,6,1937,0.0,3,3,3,3,1,4,606.0,1,0.0,336.0,5,1,5,1265,673,0,0.0,0.0,2,0,4,1,4,5,1,4,1937.0,1,1.0,3,3,3,0,40,0,0,0,0,0,0,7,198000,71,3,240.0,3,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1957,535450190,60.0,8064,4,3,5,7,1949,0.0,3,4,3,3,2,1,0.0,1,0.0,672.0,5,1,5,672,252,0,0.0,0.0,1,0,3,1,3,7,1,1,2003.0,1,2.0,3,3,3,0,0,0,0,0,0,3,2000,7,122900,58,3,288.0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
380,527355150,80.0,9600,4,3,8,5,1981,0.0,4,3,4,3,1,5,1104.0,1,0.0,1420.0,3,1,5,2524,0,0,1.0,0.0,2,1,4,1,4,7,1,4,1981.0,3,2.0,3,3,3,474,120,0,0,0,0,3,0,7,278000,28,5,271.0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2860,909276010,64.0,11435,3,2,8,7,1929,0.0,3,3,4,3,1,1,0.0,1,0.0,792.0,2,1,5,792,725,0,0.0,0.0,1,0,3,1,4,7,2,4,1931.0,1,2.0,3,3,3,0,0,0,0,0,0,0,0,6,230000,77,4,200.0,3,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2517,533250130,30.0,9549,3,3,8,5,1995,0.0,4,4,4,4,3,2,437.0,6,1057.0,0.0,5,1,5,1494,0,0,1.0,0.0,1,1,2,1,5,7,1,4,1995.0,3,2.0,3,3,3,0,30,0,0,216,0,0,0,4,270000,11,4,240.5,4,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1933,535302070,60.0,10950,4,3,6,6,1952,0.0,3,3,3,3,1,5,441.0,1,0.0,507.0,3,1,5,948,0,0,0.0,0.0,1,0,2,1,3,7,0,0,1952.0,1,2.0,3,3,1,0,48,0,0,0,0,0,0,4,125000,55,3,205.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
820,906340110,79.0,10637,4,3,8,5,2007,336.0,4,3,5,3,4,6,1288.0,1,0.0,417.0,5,1,5,1718,0,0,1.0,0.0,2,0,3,1,4,7,1,4,2007.0,2,3.0,3,3,3,208,44,0,0,0,0,0,0,9,297000,2,4,275.3333333333333,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
675,535426150,80.0,9000,3,2,6,6,1958,82.0,3,3,4,3,4,1,0.0,1,0.0,160.0,2,1,5,1142,0,0,0.0,0.0,1,0,2,1,3,7,1,4,1958.0,2,1.0,3,3,3,0,28,64,0,0,0,0,0,4,113500,51,3,384.0,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2910,923225240,41.0,2665,4,3,5,6,1977,0.0,3,3,3,3,1,5,548.0,3,173.0,36.0,5,1,5,925,550,0,0.0,0.0,2,0,4,1,3,7,1,3,1977.0,2,1.0,3,3,3,104,26,0,0,0,0,0,0,7,127000,29,2,336.0,1,1,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,527358140,105.0,11751,3,3,6,6,1977,480.0,3,3,4,3,1,4,705.0,1,0.0,1139.0,5,1,5,1844,0,0,0.0,0.0,2,0,3,1,3,7,1,3,1977.0,2,2.0,3,3,3,0,122,0,0,0,0,3,0,1,190000,33,4,273.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1873,534177210,80.0,9600,4,3,7,6,1973,320.0,3,3,3,3,1,5,916.0,1,0.0,326.0,2,1,5,1242,0,0,0.0,0.0,1,1,3,1,3,7,1,3,1973.0,1,2.0,3,3,3,0,0,0,0,0,0,0,0,9,175500,34,3,264.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2125,907135050,60.0,8428,2,3,5,7,1994,0.0,3,4,4,4,1,6,420.0,1,0.0,570.0,5,1,5,990,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1995.0,1,1.0,3,3,3,256,0,0,0,0,0,0,0,7,146000,13,2,384.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1489,908102260,75.0,9937,4,3,5,6,1965,0.0,4,3,3,3,1,4,830.0,2,290.0,136.0,4,1,5,1256,0,0,1.0,0.0,1,1,3,1,3,7,0,0,1965.0,3,1.0,3,3,3,736,68,0,0,0,0,0,0,6,147500,43,3,276.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2383,528110050,107.0,13891,4,3,10,5,2006,0.0,5,3,5,4,4,6,1386.0,1,0.0,690.0,5,1,5,2076,0,0,1.0,0.0,2,1,2,1,5,7,1,4,2006.0,3,3.0,3,3,3,216,229,0,0,0,0,0,0,9,465000,0,5,283.3333333333333,4,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
983,923275040,73.0,9101,3,3,5,6,1978,104.0,3,4,4,3,3,6,1097.0,1,0.0,0.0,5,1,5,1110,0,0,1.0,0.0,1,0,1,1,4,7,1,3,1978.0,3,2.0,3,3,3,303,30,0,0,0,0,0,0,7,165500,31,3,301.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1325,902406090,81.0,12150,4,3,5,5,1954,335.0,3,3,3,3,1,1,0.0,1,0.0,1050.0,5,0,3,1050,745,0,0.0,0.0,2,0,4,1,3,7,0,0,1954.0,1,1.0,2,3,3,0,0,0,0,0,0,0,0,11,131500,54,3,352.0,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1378,905102170,70.0,11200,4,3,5,5,1965,0.0,3,3,3,3,1,3,906.0,1,0.0,134.0,5,1,5,1040,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1965.0,1,1.0,3,3,3,0,0,0,0,0,0,0,0,2,129500,43,2,384.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1537,909281110,100.0,9670,3,2,8,6,1935,40.0,3,3,3,2,1,2,210.0,1,0.0,398.0,3,1,5,983,890,0,0.0,0.0,1,1,4,1,3,7,2,4,1935.0,3,2.0,2,3,3,0,0,207,0,0,0,0,0,6,257076,73,5,393.0,3,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
905,909101140,60.0,10998,4,3,5,5,1941,0.0,3,3,3,3,1,2,408.0,4,420.0,156.0,5,1,5,984,620,0,0.0,0.0,2,0,3,1,3,5,0,0,1977.0,1,2.0,3,3,3,0,68,0,0,0,0,0,0,7,117000,68,3,330.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1532,909275050,60.0,7200,4,2,7,6,1931,0.0,3,2,4,3,1,1,0.0,1,0.0,776.0,3,1,5,851,651,0,0.0,0.0,1,1,3,1,3,7,1,4,1931.0,2,1.0,3,3,2,0,0,112,0,0,0,3,0,2,149000,77,3,270.0,3,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
132,534475100,80.0,9920,4,3,5,5,1954,110.0,3,3,3,3,1,3,354.0,2,290.0,412.0,3,1,5,1063,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1954.0,2,1.0,3,3,3,0,0,164,0,0,0,3,0,2,128000,56,3,280.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1078,528188090,36.0,2448,4,3,7,5,2003,106.0,4,3,4,3,1,1,0.0,1,0.0,764.0,5,1,5,764,862,0,0.0,0.0,2,1,2,1,4,7,0,0,2003.0,2,2.0,3,3,3,0,27,0,0,0,0,0,0,10,155000,5,4,237.0,4,1,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2511,533221080,73.0,2998,4,3,6,5,2000,513.0,4,3,4,3,1,6,353.0,1,0.0,403.0,5,1,5,768,756,0,0.0,0.0,2,1,2,1,4,7,0,0,2000.0,1,2.0,3,3,3,0,32,0,0,0,0,0,0,6,166000,6,2,220.0,4,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
912,909250220,65.0,7804,4,3,4,3,1928,0.0,3,3,3,3,1,4,622.0,1,0.0,500.0,3,1,5,1328,653,0,1.0,0.0,2,0,4,1,4,5,2,3,1981.0,1,2.0,3,3,3,431,44,0,0,0,0,3,0,12,135000,81,3,288.0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
